"Path","Type","Size"
"C:/Users/Ильдус/Documents/Моя учеба/Основы Python/praktika/dz_8/directory.csv","File","1076"
"C:/Users/Ильдус/Documents/Моя учеба/Основы Python/praktika/dz_8/directory.json","File","1288"
"C:/Users/Ильдус/Documents/Моя учеба/Основы Python/praktika/dz_8/directory.pickle","File","1089"
"C:/Users/Ильдус/Documents/Моя учеба/Основы Python/praktika/dz_8/zad_1.py","File","3768"
"C:/Users/Ильдус/Documents/Моя учеба/Основы Python/praktika/dz_8/zad_2_3.py","File","507"
"C:/Users/Ильдус/Documents/Моя учеба/Основы Python/praktika/dz_8/__init__.py","File","259"
"C:/Users/Ильдус/Documents/Моя учеба/Основы Python/praktika/dz_8/test","Directory","10923"
"C:/Users/Ильдус/Documents/Моя учеба/Основы Python/praktika/dz_8/test/factor.py","File","3641"
"C:/Users/Ильдус/Documents/Моя учеба/Основы Python/praktika/dz_8/test/new_test.txt","File","3641"
"C:/Users/Ильдус/Documents/Моя учеба/Основы Python/praktika/dz_8/test/new_test","Directory","3641"
"C:/Users/Ильдус/Documents/Моя учеба/Основы Python/praktika/dz_8/test/new_test/new_test.txt","File","3641"
